name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate
iphone 8 64GB ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.თ⚡,560.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,IOS 15 Capacitors type,8 MP,IPx5 Capacitors type
იყიდება აიფონ 11 აიქლაუდზე დაბლოკილი ფასი 600ლარი.,600.00,Yes Capacitors type,Yes,7000 Capacitors type,Yes Capacitors type,IPS Capacitors type,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,2 MP,12 GB Capacitors type,6.47 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2021 Y.,iOS 11 Capacitors type,1 MP,
იყიდება აიფონ 11 აიქლაუდზე დაბლოკილი ფასი 600ლარი.,600.00,Yes Capacitors type,Yes,7000 Capacitors type,Yes Capacitors type,IPS Capacitors type,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,2 MP,12 GB Capacitors type,6.47 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2021 Y.,iOS 11 Capacitors type,1 MP,
iPhone 6s Plus ⚡გ.ა.ნ.ვ.ა.დ.ე.ბ.ი.თ გ.ა.რ.ა.ნ.ტ.ი.ი.,260.00,Yes Capacitors type,No,2800 Capacitors type,No Capacitors type,LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,No Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,5.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 14 Capacitors type,5 MP,IP6x Capacitors type
"Apple Iphone 6S PLus, 32GB 92% batarea, gauxsneli",375.00,Yes Capacitors type,No,2800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,5.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,No Capacitors type,Yes Capacitors type,2015 Y.,IOS 15 Capacitors type,5 MP,
"იყიდება iphone 11 pro max, 256 GB.",1500.00,Yes Capacitors type,Yes,800 Capacitors type,No Capacitors type,,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,3 MP,,3.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,No Capacitors type,Yes Capacitors type,2021 Y.,,5 MP,
iphone 7 / აიფონ 7 - 32 GB,400.00,Yes Capacitors type,No,2100 Capacitors type,Yes Capacitors type,Retina IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,IOS 15 Capacitors type,1 MP,IPx7 Capacitors type
iphone X,900.00,Yes Capacitors type,No,4700 Capacitors type,,,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,16 MP,3 GB Capacitors type,6.2 Inch,One SIM Capacitors type,Mini-SIM Capacitors type,,,,,,
IPHONE 7,400.00,Yes Capacitors type,Yes,1000 Capacitors type,No Capacitors type,,Yes Capacitors type,,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,2 MP,,5 Inch,One SIM Capacitors type,Micro-SIM Capacitors type,No Capacitors type,Yes Capacitors type,2021 Y.,,,
apple iphone xs 256gb,1100.00,Yes Capacitors type,No,2200 Capacitors type,,,Yes Capacitors type,256 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,48 MP,6 GB Capacitors type,5.5 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,,,2019 Y.,,13 MP,
