name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate
APPLE IPHONE 11 64 GB ID: 153088-V,1800.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 14 Capacitors type,12 MP,
APPLE IPHONE 6S 32GB ID: 157974-V,220.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
IPHONE 6S 16GB ID: 147872-1,260.00,Yes Capacitors type,No,1800 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,16 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2015 Y.,iOS 14 Capacitors type,5 MP,
IPHONE 11 PRO 64GB ID: 139321-2,2150.00,Yes Capacitors type,No,3100 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,3 MP,4 GB Capacitors type,5.8 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2021 Y.,iOS 14 Capacitors type,,
APPLE IPHONE 8 PLUS 64GB ID: 155615-V,780.00,Yes Capacitors type,No,2700 Capacitors type,Yes Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,3 GB Capacitors type,5.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2017 Y.,iOS 14 Capacitors type,7 MP,
IPHONE 12 PRO MAX 128GB ID:131485-2,3250.00,Yes Capacitors type,Yes,3700 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,12 MP,6 GB Capacitors type,6.7 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2020 Y.,IOS 15 Capacitors type,12 MP,
APPLE IPHONE 7 32GB A1660 ID: 157539-V,270.00,Yes Capacitors type,No,2000 Capacitors type,No Capacitors type,IPS LCD Capacitors type,Yes Capacitors type,32 GB,Yes Capacitors type,Yes Capacitors type,One,iOS Capacitors type,12 MP,2 GB Capacitors type,4.6 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2016 Y.,iOS 14 Capacitors type,5 MP,
IPHONE 12 PRO MAX 128GB ID:147383-3,2950.00,Yes Capacitors type,Yes,4700 Capacitors type,No Capacitors type,Super Retina XDR OLED Capacitors type,Yes Capacitors type,128 GB,Yes Capacitors type,Yes Capacitors type,Three,iOS Capacitors type,12 MP,6 GB Capacitors type,6.53 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2021 Y.,IOS 15 Capacitors type,12 MP,
IPHONE 11 64 GB ID: 157361-3,1850.00,Yes Capacitors type,No,3200 Capacitors type,No Capacitors type,Liquid Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.1 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 14 Capacitors type,12 MP,
IPHONE 11 64 GB ID: 157361-3,1850.00,Yes Capacitors type,No,3200 Capacitors type,No Capacitors type,Liquid Retina IPS LCD Capacitors type,Yes Capacitors type,64 GB,Yes Capacitors type,Yes Capacitors type,Two,iOS Capacitors type,12 MP,4 GB Capacitors type,6.1 Inch,One SIM Capacitors type,Nano-SIM Capacitors type,Yes Capacitors type,Yes Capacitors type,2019 Y.,iOS 14 Capacitors type,12 MP,
