name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
Apple iPhone SE SIM FREE,870,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,se
IPHONE 8 BLACK 64GB SIM FREE,550,Yes ,No,1900,Yes ,Liquid Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,,8
"iPhone SE 2020 64gb white უნაკლო, ახალივით",800,Yes ,No,2600,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,16,6,4.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,,se
iPhone 7 128GB Sim free Jet Black.,380,Yes ,No,800,Yes ,LCD ,Yes ,128,Yes ,No ,2,iOS ,2,3,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,iOS 11 ,1,IPx5 ,7
iphone 12 mini,1850,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,8,,12
iPhone XR Black 64GB Simfree,1100,Yes ,Yes,3000,No ,,Yes ,64,Yes ,Yes ,2,iOS ,20,4,4.9,One SIM ,Mini-SIM ,Yes ,Yes ,,,8,,xr
iphone XS 256GB,1100,Yes ,No,2700,Yes ,AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,3,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,5,,xs
iphone 7 32GB matt black,400,Yes ,No,2300,Yes ,LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,IOS 15 ,5,,7
iPhone 12 Pro Max 256GB Graphite,3500,Yes ,Yes,3600,No ,,Yes ,256,Yes ,Yes ,3,iOS ,12,6,6.7,One SIM ,Nano-SIM ,No ,No ,2020 Y.,,1,,12 pro
iphone 7 32da128 gb,430,Yes ,No,1600,No ,AMOLED ,Yes ,128,Yes ,Yes ,2,iOS ,2,4,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2018 Y.,iOS 10 ,2,IPx5 ,7
"IPhone 11 Pro Max 256GB -1 წლიანი გარანტიით, განავდებით",3249,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,12,IP5x ,11 pro
Iphone X 256GB,1100,Yes ,No,2700,No ,,Yes ,64,Yes ,Yes ,2,iOS ,8,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,1,,x
iPhone SE 2020,1100,Yes ,Yes,1800,Yes ,,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,7,,se
iPhone 8,750,Yes ,Yes,1800,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,7,,8
iphone 7 model-1778 ახალივით სასაჩუკრე!,450,Yes ,No,2000,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,8,,7
iphone xr 64 gb,1100,Yes ,No,5000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,1,iOS ,1,8,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,,xr
iPhone 7,380,Yes ,Yes,1900,Yes ,,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,7,,7
iPhone 8,650,Yes ,No,1800,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,7,,8
iPhone X,1150,Yes ,Yes,3700,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,,7,,x
iPhone 12 Pro,3400,Yes ,Yes,2800,Yes ,,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,12,,12 pro
iPhone 7 Plus,650,Yes ,Yes,2900,Yes ,,Yes ,32,Yes ,Yes ,2,iOS ,12,3,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,7,,7
iphone 6s 32gb აიფონ 6ს 32გბ,270,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,IOS 15 ,5,,6s
iphone 8 64gb აიფონ 8 64გბ,600,Yes ,No,1800,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,,8
iphone 13 pro max,3700,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,4,iOS ,3,4,6.7,One SIM ,Nano-SIM ,No ,Yes ,2021 Y.,,1,,13 pro max
iPhone XR,1000,Yes ,Yes,2900,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,3,6,One SIM ,Nano-SIM ,No ,Yes ,2018 Y.,,1,,xr
iPhone XS,1100,Yes ,Yes,2800,No ,Super AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,1,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,1,IP6x ,xs
iPhone 11 Pro,1950,Yes ,Yes,3000,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,12,,11 pro
iPhone 11 Pro Max,2350,Yes ,Yes,3900,Yes ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,12,,11 pro
iPhone SE (2020წ.),1100,Yes ,Yes,2800,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,7,,se
იყიდება iphone se 2020 64 gb,800,Yes ,Yes,2900,No ,,Yes ,64,Yes ,No ,1,iOS ,1,4,5,One SIM ,Nano-SIM ,No ,No ,2020 Y.,,1,,se
11 Pro Max 64 1 წლიანი გარატია განვადება კრედო,2450,Yes ,Yes,4000,Yes ,AMOLED ,Yes ,4,Yes ,Yes ,3,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,12,,11 pro
iPhone 11 64GB turbo simit 1წლიანი გარანტია განვადება კრედ,1400,Yes ,No,3000,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,12,,11
iphone 12 pro,3300,Yes ,Yes,4555,No ,,No ,64,Yes ,No ,3,iOS ,16,12,5.45,One SIM ,Nano-SIM ,No ,No ,2021 Y.,IOS 15 ,1,,12 pro
iphone 11 აიფონი 11,1700,Yes ,Yes,1700,Yes ,LCD ,Yes ,64,Yes ,Yes ,3,iOS ,2,4,6.2,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,1,,11
iphone XS MAX GOLD 89პროცენტი,1370,Yes ,Yes,2000,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,13,4,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 11 ,2,IPx7 ,xs max
iPhone XS 64Gb black sim-free,1350,Yes ,No,2400,Yes,,Yes ,64,Yes ,Yes ,3,iOS ,2,4,5.8,One SIM ,Nano-SIM ,,,2018 Y.,,1,,xs
iPhone XS 64Gb black sim-free,1350,Yes ,No,2400,Yes,,Yes ,64,Yes ,Yes ,3,iOS ,2,4,5.8,One SIM ,Nano-SIM ,,,2018 Y.,,1,,xs
iphone X,1000,Yes ,Yes,10000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,2,12,5.6,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,,1,IPx8 ,x
iPhone XR 64GB Black,800,Yes ,No,3300,Yes ,LCD ,Yes ,64,Yes ,No ,1,iOS ,12,4,6.3,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,8,IPx7 ,xr
apple iphone Xs gold/ iphone,1100,Yes ,Yes,2000,No ,,Yes ,64,Yes ,Yes ,3,iOS ,12,4,4.7,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,,5,,xs
