name,price,3G Network,5G,Battery Capacity,Card slot,Display type,GPS,Internal Memory,LTE (4G) Network,NFC,Number of cameras,Operating System,Primary Camera,RAM,Screen size,SIM Multiple,Sim Size,Touch Screen,Wi-Fi,Year,OS version,Selfie Camera,IP Certificate,model
APPLE IPHONE X 64GB ID: 163007-2,950,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.9,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,,x
APPLE IPHONE 8 64GB ID:161978-2,550,Yes ,No,1900,No ,IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,,8
11 პრო,2100,Yes ,No,3200,Yes,,Yes ,64,Yes ,Yes ,3,iOS ,1,4,5.8,Dual SIM ,Nano-SIM ,,,2019 Y.,,1,,11
APPLE IPHONE 12 128GB ID: 161361-2,2300,Yes ,Yes,2900,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,2,iOS ,12,4,6.15,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,12
Iphone 7 ( 32GB),480,No ,No,1000,No ,,Yes ,64,Yes ,No ,2,iOS ,1,4,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,7
APPLE IPHONE 7 32GB ID: 160881-2,270,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 14 ,5,,7
Iphone 8 ( 64GB),350,Yes ,No,1100,No ,,Yes ,64,Yes ,No ,2,iOS ,1,4,4.7,One SIM ,Micro-SIM ,Yes ,Yes ,,,1,,8
iphone 6s,180,Yes ,Yes,1700,No ,IPS LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,1,,6s
iphone 7 128GB,470,Yes ,Yes,7000,No ,Retina IPS LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,4,4.7,One SIM ,Mini-SIM ,No ,Yes ,2019 Y.,IOS 15 ,5,,7
iPhone 12 Pro 256GB ბათუმი,3150,Yes ,Yes,3800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,1,,12 pro
iphone 5s,90,Yes ,No,1600,No ,,Yes ,16,Yes ,No ,2,iOS ,8,1,4,One SIM ,Nano-SIM ,Yes ,Yes ,2013 Y.,,2,,5s
Iphone 6s,230,Yes ,Yes,2400,Yes ,AMOLED ,Yes ,16,Yes ,Yes ,2,iOS ,16,3,5.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,5,IP6x ,6s
იყიდება Iphone 8,600,Yes ,No,4000,Yes ,IPS ,Yes ,64,Yes ,No ,1,iOS ,1,4,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,1,IPx5 ,8
iPhone 6s 16GB Sim Free,250,Yes ,No,2300,Yes ,,Yes ,16,Yes ,Yes ,1,iOS ,13,4,5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,6s
iphone 8 pluse 64 gb,819,No ,No,3000,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,13,3,6.67,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,8,,8
IPHONE 12,2800,Yes ,No,600,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,2,12,4.1,One SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,1,IPx5 ,12
iphone 7 128 gb,450,Yes ,No,2000,Yes ,IPS ,Yes ,128,Yes ,Yes ,2,iOS ,1,4,5.2,One SIM ,Mini-SIM ,Yes ,Yes ,2021 Y.,IOS 15 ,1,IP5x ,7
Iphone xs max,1280,Yes ,No,1500,No ,TFT ,Yes ,64,Yes ,No ,2,iOS ,1,4,4.1,One SIM ,Micro-SIM ,Yes ,Yes ,2016 Y.,iOS 11 ,1,IPx6 ,xs max
Iphone 11 pro 64Gb 93% battery,2150,Yes ,No,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4,5.8,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,,1,IPx6 ,11 pro
iphon X,1050,Yes ,Yes,800,Yes ,IPS LCD ,Yes ,32,Yes ,Yes ,2,iOS ,2,2,4.2,One SIM ,Mini-SIM ,No ,Yes ,2018 Y.,Marshmallow (6.0–6.0.1) ,1,IPx5 ,x
Iphon 8,674.2162162,Yes ,No,6000,No ,,Yes ,64,Yes ,Yes ,2,iOS ,8,4,5.71,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,iOS 11 ,5,,8
IPhone SE 2020 64 GB,850,Yes ,Yes,1800,Yes ,,Yes ,64,Yes ,No ,2,iOS ,1,4,5.4,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,1,,se
iphone 11 64gb,1500,Yes ,No,3000,No ,,Yes ,64,Yes ,No ,2,iOS ,2,4,6.09,One SIM ,Mini-SIM ,Yes ,Yes ,,,1,,11
"იყიდება IPhone 7 Rose Gold, 128 GB",450,Yes ,No,1200,Yes ,,Yes ,128,Yes ,No ,2,iOS ,2,8,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,,iOS 14 ,1,IP5x ,7
Iphone 11,1800,Yes ,No,3100,No ,,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,24,,11
Iphone 7 (32GB),450,Yes ,Yes,1000,No ,,Yes ,64,Yes ,No ,2,iOS ,1,4,4.9,One SIM ,Micro-SIM ,No ,No ,,,1,,7
Iphone 6,200,Yes ,Yes,500,No ,TFT ,Yes ,64,Yes ,Yes ,1,iOS ,1,12,3,One SIM ,Mini-SIM ,Yes ,Yes ,,Froyo (2.2–2.2.3) ,1,IP5x ,6
Iphone XR 128gb,950,Yes ,No,1600,No ,,Yes ,128,Yes ,No ,1,iOS ,12,4,6,One SIM ,Nano-SIM ,,,2019 Y.,,1,,xr
IPHONE XS PRO MAX 512 GB შავი,1500,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,4,iOS ,12,4,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,,7,IPx8 ,xs pro
Iphone 6s,250,Yes ,No,1700,No ,IPS LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,IOS 15 ,1,,6s
iphone 11 pro max,2300,No ,No,5500,Yes,,No ,64,Yes ,No ,3,iOS ,3,6,6.26,Dual SIM ,Nano-SIM ,,,2021 Y.,,2,,11 pro
iphone x 256 gb აიფონ x 256 გბ,1000,Yes ,No,1100,No ,,Yes ,256,Yes ,Yes ,2,iOS ,12,4,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,1,,x
iphone 7 32gb,380,Yes ,No,2000,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,5,,7
iphone 6s 32gb,320,Yes ,No,2100,No ,IPS ,Yes ,32,Yes ,Yes ,2,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,8,,6s
iphone 6s 16gb,300,Yes ,No,2000,No ,IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,IOS 15 ,8,,6s
iphone 6s 16gb,280,Yes ,No,2100,No ,Retina IPS LCD ,Yes ,16,Yes ,Yes ,2,iOS ,13,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,,,5,,6s
iphone 5c 16gb,140,Yes ,No,1900,Yes ,LCD ,Yes ,16,Yes ,No ,1,iOS ,5,1,4,One SIM ,Nano-SIM ,Yes ,Yes ,,iOS 10 ,5,,5c
iphone 5 32GB,150,Yes ,No,1800,No ,IPS ,Yes ,32,Yes ,No ,1,iOS ,5,1,4,One SIM ,Nano-SIM ,Yes ,Yes ,,iOS 10 ,5,IP5x ,5
iPhone XS 256 GB Gold გაბზარულია უკან,1000,Yes ,No,2600,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IPx8 ,xs
iphone xs max,1300,Yes ,No,3300,,,Yes ,64,Yes ,Yes ,2,iOS ,2,4,6.7,Dual SIM ,Nano-SIM ,,,2019 Y.,,1,,xs max
APPLE IPHONE XS 64GB ID: 163260-4,1150,Yes ,No,2700,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,7,,xs
iphone 12 pro max,2800,Yes ,Yes,3600,No ,,Yes ,256,Yes ,Yes ,3,iOS ,12,6,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,1,,12 pro
iPhone 6 16 GB განვადებათბს საქართველო კრედო ბანკი,270,Yes ,No,1700,Yes ,LCD ,Yes ,16,Yes ,Yes ,1,iOS ,12,1,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,IOS 15 ,12,,6
"iPhone 8 64GB 1წლიანი გარანტია, განვადება კრედო,",800,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,8,,8
იყიდება Iphone 6,150,Yes ,Yes,1800,,,Yes ,16,Yes ,Yes ,2,iOS ,8,1,4.7,One SIM ,Nano-SIM ,,,2014 Y.,,1,,6
iphone 4s iafad,50,Yes ,No,1500,No ,,No ,16,No ,No ,2,iOS ,8,0.5,3.5,One SIM ,Micro-SIM ,Yes ,Yes ,2011 Y.,,1,,4s
იყიდება Iphone 6,180,Yes ,Yes,9000,,,Yes ,16,Yes ,Yes ,2,iOS ,8,1,4.7,One SIM ,Nano-SIM ,,,,,1,,6
iphone 5 16 GB uproblemo,90,Yes ,No,1500,No ,,Yes ,16,Yes ,No ,2,iOS ,8,1,4,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,,2,,5
iphone 6s,200,Yes ,No,1700,No ,,No ,64,No ,No ,2,iOS ,12,3,4.7,One SIM ,Nano-SIM ,,,,,1,,6s
iPhone 6 16 GB,150,Yes ,No,1800,No ,,Yes ,64,Yes ,Yes ,2,iOS ,1,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,,1,,6
"IPhone 8 64 GB -1 წლიანი გარანტიით, განავდებით",1000,Yes ,No,1800,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,IP5x ,8
"IPhone XR 64GB -1 წლიანი გარანტიით,განავდებით",999,Yes ,No,1800,Yes ,LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,12,IP6x ,xr
"Apple Iphone 11 Pro 256GB -1 წლიანი გარანტიით, განვადებით",2649,Yes ,No,3000,No ,Dynamic AMOLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,12,IP5x ,11 pro
"IPhone X 64GB -1 წლიანი გარანტიით,განვადებით",1399,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,IOS 15 ,7,IPx7 ,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვდებით",999,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,IOS 15 ,7,IPx6 ,x
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1299,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,IOS 15 ,7,IPx7 ,x
"IPhone 8 64GB -1 წლიანი გარანტიით, განვადებით",949,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,IP5x ,8
"IPhone 8 64GB GOLD -1 წლიანი გარანტიით, განვადებით",899,Yes ,No,1800,Yes ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,IP5x ,8
iphone 7 dazianebulia,170,Yes ,No,2000,No ,,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,,7,,7
saswrafod!!! iphone 6 plus sim free,180,Yes ,No,3000,No ,,Yes ,16,Yes ,Yes ,2,iOS ,8,1,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2014 Y.,,5,,6
"IPhone X 64GB -1 წლიანი გარანტიით, განვადებით",1399,Yes ,No,2700,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IPx7 ,x
Apple 8 Plus 64GB - 1 წლიანი გარანტიით განვადებით,1199,Yes ,No,2600,No ,LTPS IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,7,IPx8 ,8+
"IPhone Xs Max 512GB -1 წლიანი გარანტიით, განვადებით",2499,Yes ,No,3000,Yes ,Dynamic AMOLED ,Yes ,512,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,7,IPx8 ,xs max
"IPhone 11 Pro max 64GB -1წლიანი გარანტიით, განვადებით",2949,Yes ,Yes,3900,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,7,IP5x ,11 pro
"IPhone 6S 32 GB - 1 წლიანი განვადებით, გარანტიით",420,Yes ,No,1700,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,iOS 13 ,5,IP5x ,6s
"IPhone 11 Pro Max 64 GB - 1 წლიანი გარანტიით, განავდებით",2799,Yes ,No,3900,No ,Dynamic AMOLED ,Yes ,64,Yes ,No ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 13 ,12,IP5x ,11 pro
"IPhone 6S Plus 64 GB -1 წლიანი გარანტიით, განვადებით",699,Yes ,No,2700,No ,LCD TFT ,Yes ,64,Yes ,Yes ,2,iOS ,12,2,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,iOS 13 ,7,IP5x ,6s
IPhone XS 64GB -1 წლიანი გარანტიით,1599,Yes ,No,2600,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,7,IP5x ,xs
"IPhone XS 64GB -1 წლიანი გარანტიით, განვადებით",1599,Yes ,No,2700,No ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,3,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,IPx7 ,xs
"IPhone 6 Plus 16 GB -1 წლიანი გარანტიით, განვადებით",499,Yes ,No,2900,No ,LCD TFT ,Yes ,16,Yes ,Yes ,2,iOS ,8,1,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,iOS 12 ,1,IP5x ,6
iphone 11,1400,Yes ,No,3400,Yes ,,Yes ,64,Yes ,Yes ,2,iOS ,2,4,6.26,One SIM ,Micro-SIM ,Yes ,Yes ,2019 Y.,,1,,11
iPhone XS,1300,Yes ,No,3000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,5,IP5x ,xs
iPhone 7,350,Yes ,No,1900,Yes ,LCD ,Yes ,128,Yes ,Yes ,2,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,5,,7
Iphone Xs,1350,Yes ,Yes,2600,Yes ,AMOLED ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,6,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,1,IPx5 ,xs
Iphone 12 pro max,3300,Yes ,Yes,3700,Yes ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,iOS 14 ,12,IPx8 ,12 pro
Iphone 12 .,2400,Yes ,Yes,2800,Yes ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,12,IP6x ,12
Iphone 11 pro,2300,Yes ,Yes,3100,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,8,IP6x ,11 pro
iPhone 7 32 Gb,500,No ,No,1700,Yes ,IPS ,Yes ,32,Yes ,Yes ,1,iOS ,1,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,iOS 14 ,1,IPx8 ,7
iPhone 8 Plus 64GB Gold,800,No ,No,2900,,,No ,64,Yes ,No ,2,iOS ,13,4,5.5,One SIM ,Nano-SIM ,,,2019 Y.,,8,,8
iPhone 12 Pro MAX 256GB,3100,Yes ,Yes,4300,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,3,iOS ,12,6,6.67,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,,8,IPx8 ,12 pro
iPhone X 64 GB,750,Yes ,Yes,2700,No ,,Yes ,64,Yes ,No ,2,iOS ,2,4,5.8,One SIM ,Nano-SIM ,No ,Yes ,2017 Y.,,1,,x
iphone 5s არ ირთვება,30,Yes ,No,1300,No ,LCD ,Yes ,16,Yes ,No ,2,iOS ,1,2,4.2,One SIM ,Nano-SIM ,Yes ,Yes ,2012 Y.,iOS 11 ,1,IP5x ,5s
Apple Iphone 11 pro max 64GB gold,2300,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,2,IP5x ,11 pro
Apple Iphone 11 pro max 64GB gold,2300,Yes ,No,3200,Yes ,Super AMOLED ,Yes ,64,Yes ,Yes ,3,iOS ,3,4,6.7,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,2,IP5x ,11 pro
Apple Iphone 11 pro 256GB,2300,Yes ,No,2400,Yes ,Super AMOLED ,Yes ,256,Yes ,Yes ,3,iOS ,3,4,5.8,One SIM ,Mini-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,IP5x ,11 pro
iPhone 7 32 gb sim free,400,Yes ,Yes,2000,Yes ,LCD TFT ,Yes ,32,Yes ,Yes ,1,iOS ,20,4,4,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,13,,7
iPhone X 64GB Sim Free,1100,Yes ,Yes,3500,Yes ,Dynamic AMOLED ,Yes ,64,Yes ,Yes ,2,iOS ,48,8,5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,20,,x
iphone 11 Pro,2050,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,5.8,Dual SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,IPx8 ,11 pro
Iphone 11 green 64gb,1550,Yes ,Yes,700,Yes ,LCD ,Yes ,4,Yes ,Yes ,1,Feature phones ,2,0.5,4,One SIM ,Nano-SIM ,Yes ,Yes ,2000 Y.,,1,IP5x ,11
Apple iPhone 6s 32GB,270,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,32,Yes ,No ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2016 Y.,IOS 15 ,7,,6s
IPHONE 11 PRO MAX 646GB Space Gray 91%,2450,Yes ,No,4000,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,11 pro
IPHONE X 64GB Silver 96%,1000,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,,x
IPHONE 8 64GB Red,600,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,IOS 15 ,7,,8
IPHONE XR Black 64GB 89%,1000,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,7,,xr
Apple iPhone SE (2020) 88% Space Gray,820,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,7,,se
Iphone 11 Purple 85% ტურბო სიმი ნაკაწრები.,1200,Yes ,No,3100,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,11
IPHONE 11 PRO Space Gray 64GB,1950,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,11 pro
IPHONE XS 256GB Space Gray. ყუთით დაზიანებული,800,Yes ,No,2800,No ,Super Retina XDR OLED ,Yes ,256,Yes ,Yes ,2,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,,xs
IPHONE 8 64GB Space Gray,600,Yes ,No,2000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,7,,8
დაბლოკილი!!! IPHONE XR Black - Blue 64GB,400,Yes ,No,3000,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,4,6.1,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,7,,xr
IPHONE 5 აიქლაუდზე დაბლოკილი ნაწილებად.,50,Yes ,No,1500,No ,IPS ,Yes ,16,Yes ,No ,1,iOS ,8,4,4,One SIM ,Nano-SIM ,Yes ,Yes ,2015 Y.,iOS 12 ,5,,5
IPHONE 11 PRO Silver 64GB,1950,Yes ,No,3100,No ,Super Retina XDR OLED ,Yes ,64,Yes ,Yes ,3,iOS ,12,4,5.8,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,11 pro
IPHONE 8 PLUS Red 64GB,630,Yes ,No,2700,No ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,5.5,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 14 ,7,,8
iphone 8 black 64 GB,629,Yes ,Yes,2600,No ,LCD ,Yes ,64,Yes ,Yes ,1,iOS ,12,3,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,8
iphone 6s 64GB,180,Yes ,No,1700,No ,,Yes ,64,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,,,2015 Y.,,8,,6s
Iphone 7,430,Yes ,Yes,4500,Yes ,IPS ,Yes ,64,Yes ,Yes ,2,iOS ,64,4,5.1,Dual SIM ,Mini-SIM ,Yes ,Yes ,2020 Y.,Ice Cream Sandwich (4.0–4.0.4) ,1,MIL-STD-810D ,7
iphone 7 black 32 GB,399,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,7
iphone 6s space gray 32 GB,299,Yes ,Yes,2600,No ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,5,,6s
iphone 7 silver 32 gb,350,Yes ,Yes,2700,Yes ,LCD ,Yes ,32,Yes ,Yes ,1,iOS ,12,2,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,IOS 15 ,8,,7
iphone 7,330,Yes ,No,1800,No ,,Yes ,32,Yes ,Yes ,2,iOS ,1,2,4.6,One SIM ,Nano-SIM ,Yes ,Yes ,2017 Y.,iOS 14 ,1,IPx7 ,7
iPhone 11,1850,Yes ,No,3100,Yes ,Retina IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,13,IPx8 ,11
IPHONE 6 16GB აიქლაუდზე დაბლოკილი,90,Yes ,No,1800,No ,Retina IPS LCD ,Yes ,16,Yes ,No ,1,iOS ,8,4,4.7,One SIM ,Nano-SIM ,Yes ,Yes ,2018 Y.,iOS 12 ,5,,6
Iphone 12 Pro max,3550,Yes ,Yes,3700,No ,Super Retina XDR OLED ,Yes ,128,Yes ,Yes ,3,iOS ,12,6,6.7,One SIM ,Nano-SIM ,Yes ,Yes ,2020 Y.,IOS 15 ,12,,12 pro
iPhone 11 pro max 512gb,2700,Yes ,No,4000,Yes ,Super Retina XDR OLED ,Yes ,512,Yes ,Yes ,3,iOS ,64,4,6.5,Dual SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,1,IPx6 ,11 pro
Iphone 7 ყუთით და კარგ მდგომარეობაში,450,Yes ,Yes,900,No ,,Yes ,32,Yes ,No ,2,iOS ,2,4,5.3,One SIM ,Nano-SIM ,Yes ,No ,,IOS 15 ,1,,7
იყიდება აიფონ 11-iphone 11,1900,Yes ,Yes,2400,No ,IPS LCD ,Yes ,64,Yes ,Yes ,2,iOS ,12,4,6.5,One SIM ,Micro-SIM ,No ,Yes ,2019 Y.,iOS 14 ,1,IPx8 ,11
iphon xs max,1330,Yes ,No,2800,No ,LCD ,Yes ,256,Yes ,Yes ,3,iOS ,12,4,6.5,One SIM ,Nano-SIM ,Yes ,Yes ,2019 Y.,IOS 15 ,8,,xs max
